Date,MSCI USA Prime Value Index
2016-07-14,6659.033097
2016-07-15,6650.896638
2016-07-18,6662.952275
2016-07-19,6651.396163
2016-07-20,6681.680385
2016-07-21,6660.632368
2016-07-22,6694.168529
2016-07-25,6664.613298
2016-07-26,6682.540655
2016-07-27,6681.748775
2016-07-28,6679.870948
2016-07-29,6671.859429
2016-08-01,6642.723513
2016-08-02,6592.199284
2016-08-03,6640.279343
2016-08-04,6638.38695
2016-08-05,6709.84314
2016-08-08,6716.828755
2016-08-09,6705.598546
2016-08-10,6685.727461
2016-08-11,6733.881869
2016-08-12,6737.809132
2016-08-15,6771.864943
2016-08-16,6752.792019
2016-08-17,6752.314973
2016-08-18,6779.654948
2016-08-19,6770.405246
2016-08-22,6756.048036
2016-08-23,6768.392903
2016-08-24,6741.976292
2016-08-25,6717.95771
2016-08-26,6701.977168
2016-08-29,6737.304276
2016-08-30,6730.075133
2016-08-31,6709.402517
2016-09-01,6706.164989
2016-09-02,6738.083846
2016-09-05,6738.083846
2016-09-06,6745.660571
2016-09-07,6760.438662
2016-09-08,6739.996557
2016-09-09,6587.375134
2016-09-12,6681.807628
2016-09-13,6589.67798
2016-09-14,6574.880077
2016-09-15,6662.988343
2016-09-16,6635.166831
2016-09-19,6640.885312
2016-09-20,6622.255607
2016-09-21,6698.666698
2016-09-22,6726.195657
2016-09-23,6680.706767
2016-09-26,6624.933261
2016-09-27,6670.067425
2016-09-28,6727.678132
2016-09-29,6663.699204
2016-09-30,6735.932733
2016-10-03,6708.471114
2016-10-04,6684.667633
2016-10-05,6736.270048
2016-10-06,6731.075738
2016-10-07,6708.80703
2016-10-10,6743.905334
2016-10-11,6661.135644
2016-10-12,6657.031945
2016-10-13,6626.948762
2016-10-14,6636.659509
2016-10-17,6612.607327
2016-10-18,6654.201832
2016-10-19,6655.933638
2016-10-20,6656.235903
2016-10-21,6648.569247
2016-10-24,6672.919307
2016-10-25,6657.930657
2016-10-26,6667.944484
2016-10-27,6641.877218
2016-10-28,6611.802699
2016-10-31,6625.579704
2016-11-01,6583.840649
2016-11-02,6556.967223
2016-11-03,6530.285029
2016-11-04,6514.218968
2016-11-07,6656.559382
2016-11-08,6665.662768
2016-11-09,6791.847386
2016-11-10,6869.737831
