Date,MSCI USA Quality GARP Select Index
2008-12-09,100.3220927
2008-12-10,102.1959963
2008-12-11,99.6399374
2008-12-12,99.9987307
2008-12-15,98.9719389
2008-12-16,104.2255678
2008-12-17,103.8020595
2008-12-18,101.5476478
2008-12-19,102.1401045
2008-12-22,99.7573817
2008-12-23,98.8247182
2008-12-24,99.2162331
2008-12-25,99.2162331
2008-12-26,100.0115439
2008-12-29,99.7690526
2008-12-30,102.5888581
2008-12-31,103.9891562
2009-01-01,103.9891562
2009-01-02,108.1252264
2009-01-05,108.5453759
2009-01-06,110.1297511
2009-01-07,106.618281
2009-01-08,107.3645088
2009-01-09,104.9041006
2009-01-12,102.340838
2009-01-13,102.7898165
2009-01-14,99.0445941
2009-01-15,100.1804875
2009-01-16,101.4706937
2009-01-19,101.4706937
2009-01-20,96.257965
2009-01-21,100.6158246
2009-01-22,98.6884301
2009-01-23,99.4918757
2009-01-26,100.3983913
2009-01-27,101.5741014
2009-01-28,104.9811101
2009-01-29,101.1644532
2009-01-30,98.9280869
2009-02-02,98.8235789
2009-02-03,101.0198436
2009-02-04,101.0954098
2009-02-05,103.307442
2009-02-06,105.7517597
2009-02-09,105.8107395
2009-02-10,101.1302997
2009-02-11,101.5229357
2009-02-12,102.1401109
2009-02-13,101.7263614
2009-02-16,101.7263614
2009-02-17,97.1529108
2009-02-18,97.0919159
2009-02-19,95.9410008
2009-02-20,95.2532837
2009-02-23,91.0706189
2009-02-24,94.2224709
2009-02-25,92.9009389
2009-02-26,91.1618885
2009-02-27,89.8066667
2009-03-02,85.5714134
2009-03-03,85.4836228
2009-03-04,87.9397965
2009-03-05,84.2429121
2009-03-06,84.0517622
2009-03-09,83.0158284
2009-03-10,88.1440148
2009-03-11,88.5530584
2009-03-12,91.6959557
2009-03-13,92.2015652
2009-03-16,91.6672063
2009-03-17,94.6543795
2009-03-18,96.3038742
2009-03-19,95.8186793
2009-03-20,94.0131866
2009-03-23,100.2443529
2009-03-24,98.665986
2009-03-25,99.1086242
2009-03-26,102.2632147
2009-03-27,99.8185236
2009-03-30,96.5777857
2009-03-31,97.6730121
2009-04-01,98.9354768
2009-04-02,102.1706175
2009-04-03,103.021976
2009-04-06,102.2312359
2009-04-07,99.9534703
2009-04-08,101.7318167
2009-04-09,105.3786257
2009-04-10,105.3786257
2009-04-13,105.2257532
2009-04-14,103.8153321
2009-04-15,104.3234015
2009-04-16,106.5933753
2009-04-17,106.8090679
2009-04-20,102.6964236
2009-04-21,104.808423
2009-04-22,104.5467816
2009-04-23,105.4639016
2009-04-24,107.7816315
2009-04-27,106.6605153
2009-04-28,106.327386
2009-04-29,108.5859513
2009-04-30,108.6779153
2009-05-01,109.4746264
2009-05-04,112.4960374
2009-05-05,112.1993881
2009-05-06,113.3659626
2009-05-07,111.9332092
2009-05-08,114.118251
2009-05-11,112.0114966
2009-05-12,112.2153858
2009-05-13,109.0701501
2009-05-14,110.2753048
2009-05-15,109.4442783
2009-05-18,112.8321519
2009-05-19,112.8444667
2009-05-20,112.3421181
2009-05-21,110.0876607
2009-05-22,110.1749199
2009-05-25,110.1749199
2009-05-26,113.2934026
2009-05-27,111.4746634
2009-05-28,112.8763525
2009-05-29,114.3537467
2009-06-01,118.2132776
2009-06-02,118.5585652
2009-06-03,117.0032319
2009-06-04,117.7271468
2009-06-05,118.0307888
2009-06-08,117.6659397
2009-06-09,118.3151038
2009-06-10,118.0398956
2009-06-11,118.422037
2009-06-12,118.530936
2009-06-15,115.7597567
2009-06-16,114.4146711
2009-06-17,114.9172437
2009-06-18,115.5772931
2009-06-19,116.1238994
2009-06-22,112.6892243
2009-06-23,112.663616
2009-06-24,113.4554655
2009-06-25,116.1712756
2009-06-26,115.8837405
2009-06-29,116.6677765
2009-06-30,115.6623192
2009-07-01,116.0488544
2009-07-02,112.6769503
2009-07-03,112.6769503
2009-07-06,112.9459122
2009-07-07,110.66056
2009-07-08,111.0850347
2009-07-09,111.3925698
2009-07-10,111.1042567
2009-07-13,113.2481629
2009-07-14,113.7624057
2009-07-15,116.8094754
2009-07-16,118.167981
2009-07-17,118.3122746
2009-07-20,119.8239199
2009-07-21,120.4489916
2009-07-22,120.2878073
2009-07-23,122.7740061
2009-07-24,122.9696202
2009-07-27,122.9660691
2009-07-28,123.0067084
2009-07-29,122.6699216
2009-07-30,123.6854727
2009-07-31,123.5981597
2009-08-03,125.5231608
2009-08-04,125.5483867
2009-08-05,124.5771136
2009-08-06,123.9460922
2009-08-07,125.813207
2009-08-10,125.4003931
2009-08-11,124.2211339
2009-08-12,125.7775497
2009-08-13,126.3893275
2009-08-14,125.1240837
2009-08-17,122.3828475
2009-08-18,123.5822596
2009-08-19,124.453895
2009-08-20,125.6241668
2009-08-21,127.6443052
2009-08-24,127.680477
2009-08-25,127.8960192
2009-08-26,127.9358035
2009-08-27,128.44733
2009-08-28,128.0742396
2009-08-31,126.8922813
2009-09-01,124.7694884
2009-09-02,124.7048189
2009-09-03,125.8556147
2009-09-04,127.5554827
2009-09-07,127.5554827
2009-09-08,128.6109578
2009-09-09,129.5800763
2009-09-10,130.9531432
2009-09-11,131.0692051
2009-09-14,131.6301874
2009-09-15,131.7227039
2009-09-16,133.5161566
2009-09-17,133.4000491
2009-09-18,133.6873486
2009-09-21,133.5540015
2009-09-22,134.1145034
2009-09-23,132.6536599
2009-09-24,131.4565711
2009-09-25,130.6182224
2009-09-28,132.8575782
2009-09-29,132.7450584
2009-09-30,132.5978278
2009-10-01,129.4256581
2009-10-02,128.7410623
2009-10-05,130.2519422
2009-10-06,132.0442463
2009-10-07,132.3817433
2009-10-08,133.4643978
2009-10-09,134.5169323
2009-10-12,134.698138
2009-10-13,134.5049204
2009-10-14,136.7306768
2009-10-15,137.2811693
2009-10-16,136.6472735
