Date,MSCI USA Value Exposure Select Index
2009-10-22,1876.172324
2009-10-23,1844.478137
2009-10-26,1817.172686
2009-10-27,1811.945994
2009-10-28,1775.746836
2009-10-29,1827.058234
2009-10-30,1774.137396
2009-11-02,1781.805187
2009-11-03,1793.669147
2009-11-04,1798.529251
2009-11-05,1823.531475
2009-11-06,1830.167241
2009-11-09,1875.39325
2009-11-10,1874.490778
2009-11-11,1881.425049
2009-11-12,1860.101826
2009-11-13,1875.337106
2009-11-16,1904.538768
2009-11-17,1905.22412
2009-11-18,1900.436965
2009-11-19,1872.796508
2009-11-20,1864.012362
2009-11-23,1887.856632
2009-11-24,1886.478211
2009-11-25,1901.288875
2009-11-26,1901.288875
2009-11-27,1865.505046
2009-11-30,1864.319322
2009-12-01,1889.507508
2009-12-02,1892.842332
2009-12-03,1871.287845
2009-12-04,1887.251624
2009-12-07,1888.5572
2009-12-08,1862.27846
2009-12-09,1872.899024
2009-12-10,1888.961986
2009-12-11,1897.147223
2009-12-14,1916.638296
2009-12-15,1911.312113
2009-12-16,1920.938301
2009-12-17,1897.934152
2009-12-18,1899.503539
2009-12-21,1923.015656
2009-12-22,1929.622758
2009-12-23,1933.774961
2009-12-24,1944.283552
2009-12-25,1944.283552
2009-12-28,1945.230966
2009-12-29,1942.801161
2009-12-30,1945.323505
2009-12-31,1921.080312
2010-01-01,1921.080312
2010-01-04,1957.912057
2010-01-05,1963.548236
2010-01-06,1965.721384
2010-01-07,1972.003122
2010-01-08,1981.318272
2010-01-11,1987.199456
2010-01-12,1968.891404
2010-01-13,1987.545898
2010-01-14,1992.485812
2010-01-15,1975.800791
2010-01-18,1975.800791
2010-01-19,2008.2233
2010-01-20,1988.387995
2010-01-21,1949.291543
2010-01-22,1903.431078
2010-01-25,1912.686428
2010-01-26,1904.86845
2010-01-27,1909.271648
2010-01-28,1882.887359
2010-01-29,1865.761153
2010-02-01,1894.387534
2010-02-02,1925.877016
2010-02-03,1908.678779
2010-02-04,1848.906615
2010-02-05,1849.58324
2010-02-08,1837.053172
2010-02-09,1860.846889
2010-02-10,1854.115824
2010-02-11,1878.411021
2010-02-12,1873.066899
2010-02-15,1873.066899
2010-02-16,1906.062456
2010-02-17,1914.51683
2010-02-18,1932.37341
2010-02-19,1939.254053
2010-02-22,1936.884216
2010-02-23,1909.561391
2010-02-24,1926.421591
2010-02-25,1927.560408
2010-02-26,1929.540591
2010-03-01,1955.943653
2010-03-02,1961.213275
2010-03-03,1958.507529
2010-03-04,1967.147422
2010-03-05,1995.424634
2010-03-08,1999.824143
2010-03-09,1995.382425
2010-03-10,2004.47345
2010-03-11,2012.095756
2010-03-12,2009.550785
2010-03-15,2009.177705
2010-03-16,2022.077564
2010-03-17,2033.404805
2010-03-18,2031.474969
2010-03-19,2018.477929
2010-03-22,2030.926701
2010-03-23,2051.426951
2010-03-24,2040.060671
2010-03-25,2032.945407
2010-03-26,2037.060464
2010-03-29,2052.389653
2010-03-30,2052.198556
2010-03-31,2047.433003
2010-04-01,2065.201599
2010-04-02,2065.201599
2010-04-05,2084.445782
2010-04-06,2081.623961
2010-04-07,2064.590764
2010-04-08,2073.15092
2010-04-09,2090.829231
2010-04-12,2095.218839
2010-04-13,2092.508257
2010-04-14,2114.390764
2010-04-15,2114.032462
2010-04-16,2086.10146
2010-04-19,2091.640447
2010-04-20,2113.568234
2010-04-21,2110.997596
2010-04-22,2115.839005
2010-04-23,2142.237745
2010-04-26,2133.852854
2010-04-27,2073.619068
2010-04-28,2090.049832
2010-04-29,2108.133138
2010-04-30,2068.183395
2010-05-03,2089.630823
2010-05-04,2036.268501
2010-05-05,2029.32588
2010-05-06,1960.876994
2010-05-07,1926.762353
2010-05-10,2008.157385
2010-05-11,1997.679317
2010-05-12,2028.602149
2010-05-13,2001.983674
2010-05-14,1961.874063
2010-05-17,1969.659728
2010-05-18,1939.254107
2010-05-19,1926.9907
2010-05-20,1844.625241
2010-05-21,1869.070571
2010-05-24,1845.347668
2010-05-25,1846.150569
2010-05-26,1842.543983
2010-05-27,1907.211948
2010-05-28,1886.138867
2010-05-31,1886.138867
2010-06-01,1843.867835
2010-06-02,1891.957346
2010-06-03,1901.712551
2010-06-04,1831.842954
2010-06-07,1800.480738
2010-06-08,1816.074868
2010-06-09,1810.889331
2010-06-10,1870.67263
2010-06-11,1883.38525
2010-06-14,1883.682414
2010-06-15,1933.342646
2010-06-16,1924.309779
2010-06-17,1931.573631
2010-06-18,1930.837668
2010-06-21,1919.718893
2010-06-22,1887.641146
2010-06-23,1881.188982
2010-06-24,1840.531552
2010-06-25,1850.081595
2010-06-28,1844.253384
2010-06-29,1779.719208
2010-06-30,1760.91436
2010-07-01,1754.548701
2010-07-02,1746.991779
2010-07-05,1746.991779
2010-07-06,1751.00328
2010-07-07,1805.137444
2010-07-08,1825.77171
2010-07-09,1841.338333
2010-07-12,1836.814736
2010-07-13,1866.228704
2010-07-14,1865.238792
2010-07-15,1866.786045
2010-07-16,1813.302976
2010-07-19,1827.049704
2010-07-20,1844.199605
2010-07-21,1820.286094
2010-07-22,1859.584396
